amenity_place,floors,population,address,lat,long
marketplace,2,,690037 улица Адмирала Юмашева 37А,43.12528733,131.95759364000003
marketplace,1,,  ,43.12541656,131.95820152000002
marketplace,3,, улица Нейбута 125,43.1232373,131.96375665000002
marketplace,1,,  ,43.12529489166666,131.95771261666667
marketplace,2,, улица Сабанеева 22А,43.12850186,131.95635132
marketplace,,,  ,43.128441666666674,131.9555493
marketplace,1,,  ,43.12581188571429,131.96604867142858
marketplace,1,,  ,43.123852600000006,131.96235975999997
marketplace,1,, улица Нейбута 99Б,43.125164590000004,131.96189613
marketplace,1,,  ,43.125894720000005,131.96492442
marketplace,1,,  ,43.12363238571429,131.96695167142857
marketplace,1,,  ,43.12521472,131.96387990000002
marketplace,,, улица Нейбута 87А с15,43.12707062,131.96817119999997
marketplace,,,  ,43.1241445,131.95935412
marketplace,,,  ,43.127932619999996,131.96660568
marketplace,1,,  ,43.12600371999999,131.96725026000001
marketplace,1,,  ,43.125358733333336,131.96267158888887
marketplace,,,  ,43.12331686,131.95892102
marketplace,1,,  ,43.12519408000001,131.96286668
marketplace,1,,  ,43.12426863,131.95812521
marketplace,,,  ,43.12231794,131.96349896
marketplace,,,  ,43.12844476,131.95541484
marketplace,,,  ,43.12365656,131.95807417999998
marketplace,,, улица Нейбута 125 с15,43.12800204285714,131.96906177142858
marketplace,,,  ,43.12566493999999,131.95846642
marketplace,,, улица Нейбута 125 с14,43.12745012,131.96993918
marketplace,,,  ,43.129268259999996,131.956714
marketplace,1,,  ,43.12500836296295,131.96285684444445
marketplace,1,,  ,43.1243317,131.96296758
marketplace,2,, улица Нейбута 87А/1,43.12318837,131.95821944
marketplace,,,  ,43.12920216,131.95672873999996
marketplace,1,,  ,43.12567402222222,131.96688558888889
marketplace,1,,  ,43.12433918,131.96371364
marketplace,,,  ,43.127876220000005,131.969103
marketplace,,,  ,43.12167252,131.9605682
marketplace,,,  ,43.12173678,131.96070465999998
marketplace,,,  ,43.123793819999996,131.95932064000002
marketplace,1,,  ,43.123026,131.95785448
marketplace,,,  ,43.12460926666667,131.9607166111111
marketplace,1,,  ,43.1260725,131.9671218
marketplace,1,,  ,43.12446704,131.96283534
marketplace,,,  ,43.12375254,131.96635662000003
marketplace,,,  ,43.12487116,131.95928032
marketplace,,,  ,43.12362808,131.95947574000002
marketplace,1,,  ,43.125968820000004,131.96512826
marketplace,,,  ,43.128782896551726,131.95580385862067
marketplace,,,  ,43.12290136,131.9578845
marketplace,,,  ,43.127279,131.96997900000002
marketplace,,,  ,43.12686388,131.96877193999998
marketplace,,,  ,43.12484636000001,131.959511
marketplace,,,  ,43.128729760000006,131.95667782
marketplace,,,  ,43.12857104,131.95580174000003
marketplace,1,,  ,43.12377002222222,131.9640700666667
marketplace,1,,  ,43.12508732,131.95908244
marketplace,1,,  ,43.12531236666666,131.964606625
marketplace,1,, улица Нейбута 125 с11,43.12609776,131.9654735
marketplace,,,  ,43.12772390000001,131.97043018
marketplace,1,,  ,43.12508976,131.96250518000002
marketplace,1,,  ,43.1239516,131.95775727999998
marketplace,,,  ,43.12560988,131.96652014
marketplace,,, улица Нейбута 125 с10,43.125832900000006,131.96562708666664
marketplace,,,  ,43.123504520000004,131.96028504
marketplace,1,,  ,43.12399995999999,131.96247304000002
marketplace,1,, улица Нейбута 125 с3,43.124902739999996,131.96195316
marketplace,,,  ,43.128750325,131.95686205833334
marketplace,1,,  ,43.123826640000004,131.95783197999998
marketplace,,,  ,43.12729512,131.97061674
marketplace,1,, улица Нейбута 125 с25,43.12752634,131.97195814000003
marketplace,1,,  ,43.126214237499994,131.9590479125
marketplace,2,,  ,43.12450534285714,131.96363724285715
marketplace,1,,  ,43.12394688,131.96301004
marketplace,1,,  ,43.12837978333334,131.95676745
marketplace,1,, улица Нейбута 125 с2,43.124849340000004,131.9617639
marketplace,1,, улица Нейбута 125А,43.12555634,131.96400818
marketplace,,,  ,43.1284727875,131.95584534999998
marketplace,1,,  ,43.12318162,131.96305162000002
marketplace,,,  ,43.12417756,131.96229046000002
marketplace,2,,  ,43.1289681625,131.9563310375
marketplace,,,  ,43.12312154,131.96354744
marketplace,1,, улица Нейбута 125/2,43.12502001666667,131.96230048333334
marketplace,,,  ,43.12089862,131.96070115999999
marketplace,1,,  ,43.12342015714285,131.95813291428573
marketplace,,,  ,43.12553442,131.95818028
marketplace,,, улица Нейбута 87А с3,43.12457446,131.95831361999998
marketplace,1,,  ,43.125147240000004,131.95975718
marketplace,,,  ,43.125916059999994,131.96411912000002
marketplace,,, улица Нейбута 125 с16,43.12822808888888,131.96915913333333
marketplace,,,  ,43.12784546,131.9701556
marketplace,,,  ,43.12733908,131.97080052
marketplace,1,,  ,43.12499737777778,131.96348934444444
marketplace,,,  ,43.12549661999999,131.96261604
marketplace,1,,  ,43.12329722,131.9585177
marketplace,,,  ,43.1244515,131.95837237142857
marketplace,,,  ,43.121610239999995,131.96307326000002
marketplace,,,  ,43.12356611428572,131.95850367142856
marketplace,,,  ,43.123610385714294,131.9584490142857
marketplace,,,  ,43.12373442,131.95838243999998
marketplace,1,, улица Нейбута 125 с22,43.12785398,131.971569
marketplace,,,  ,43.12479912857143,131.95838052857144
marketplace,,,  ,43.1251093,131.95778548
marketplace,,,  ,43.12426873333334,131.95841695
marketplace,,,  ,43.1246664,131.95832898
marketplace,,,  ,43.1290661,131.9562371
marketplace,,,  ,43.12902704,131.95620046000002
marketplace,,,  ,43.12884816,131.9561606
marketplace,,, улица Нейбута 125 с18,43.12797094,131.96938084
