lat,long,amenity,name,description,operator,brand,brand:wikipedia,density100,density200,density300,density500,nearest_com_100_sum,nearest_com_100_mean,nearest_com_100_std,nearest_com_200_sum,nearest_com_200_mean,nearest_com_200_std,nearest_com_300_sum,nearest_com_300_mean,nearest_com_300_std,nearest_com_500_sum,nearest_com_500_mean,nearest_com_500_std,nearest_facility_dist,nearest_atm_dist,nearest_cafe_dist,nearest_grocery_dist,nearest_pharmacy_dist,nearest_medics_dist,nearest_bank_dist,nearest_fast_food_dist,nearest_post_office_dist,nearest_education_neig_dist,nearest_postamat_dist,nearest_goverment_dist,nearest_sdek_dist,nearest_post_box_dist,nearest_pvz_neig_dist
43.0969006,131.867301,goverment,Vladivostok customs,Владивостокский таможенный пост,,,,0.0,752.0,1136.0,3917.0,0,,,0,,,1,297.0869285465761,0.0,11,428.97781697555513,46.75400972755137,590.831869666968,424.51602235016406,413.1316225877836,297.0869285465761,431.703200935255,549.2928928959692,421.8485826721969,486.11553226722833,406.088903414273,442.5693969592814,428.9207700933879,0.0,401.0937601426502,528.8994571840171,5246.582703836447
43.1168825,131.8792176,atm,,,МДМ Банк,,,241.0,1272.0,2802.0,5950.0,3,42.763196457308254,38.76701877564252,13,133.0450222635332,56.89337166704112,29,200.5588151035746,74.08593941203225,69,327.78586908410585,127.49244001400886,64.99991322829351,0.0,124.82589568054956,122.32747788296003,366.65503489623393,586.9850033639028,251.45829943455274,34.432770374384845,531.1762203773159,103.59558435150879,763.3592819689482,654.3285873822387,518.6431067277944,379.69175434560157,3011.299474105901
43.13307800000001,131.8987251,culture,Москва,,,,,0.0,2953.0,8037.0,17514.0,9,56.68762871590454,23.022305266306525,16,96.30342567582194,51.14913418412559,17,107.97620365707792,68.13514326088733,32,239.74569012865135,153.78632596751348,67.00881164470385,20.46766014435159,92.42981256402187,43.03496663796377,35.87107436111656,92.65222721390313,78.96945898916658,35.70430506878078,380.8971589021982,674.8208583913346,544.5364865273228,290.51704371194506,563.0666577348949,1234.6972117003086,852.8802582881175
43.112159399999996,131.8731153,nightclub,Наутилус,,,,,79.0,626.0,2167.0,6315.0,0,,,0,,,1,253.68848861733187,0.0,16,393.07374592019846,59.30186319791306,375.440219406606,356.6756426667771,365.82786283661164,253.68848861733187,404.88882533737757,378.76775774455194,418.6261138021124,317.80581995690045,597.6878298107831,732.294336215362,341.1530528772975,550.8353130549866,1235.5406784418392,704.7832982095102,3723.283827624481
43.1128919,131.9324321,education,,,,,,1059.0,2300.0,3645.0,10021.0,1,95.34465744403741,0.0,2,135.8313771725287,40.486719728491295,5,218.60662082091935,73.05994401071608,46,388.17246981583975,81.18215868772191,173.8447134624907,176.31809690102,390.2086303948668,292.7892198650685,95.34465744403741,150.65176929697887,260.42774728525484,330.5725239698257,290.7583782016733,0.0,501.2709326897782,377.3600091529616,245.09169932975817,169.09801429795084,242.92974583745223
43.131708700000004,131.91252340000003,atm,Банкомат Росбанка,,,,,326.0,2382.0,5191.0,12488.0,6,47.131561723167124,35.43777873816369,12,103.22561251701802,63.676528731863456,14,120.62986025730736,73.20265325763826,21,211.22828388911057,146.65996852066516,89.60290866117805,0.0,96.48337281316469,138.43794387961324,49.851838601705005,253.22595068422677,6.348185977497773,48.24535384132883,444.5203170566134,220.42941798038416,200.70906749360407,852.347952625554,985.2289717927067,2085.44129034227,293.87020673455055
43.11550620000001,131.9354279,goverment,Нотариус,,,,,425.0,2360.0,2984.0,11026.0,0,,,0,,,1,235.65243056886823,0.0,36,435.35439462733603,54.0509307455923,14.85477582236669,394.758875808631,413.6109690130187,304.23535883546765,235.65243056886823,287.3681541672065,427.315899963676,335.07934692840814,89.16334331529661,379.05564415667226,466.2673557156458,0.0,330.99346614196827,399.3661587149461,462.1229704148283
43.13311760000001,131.9125506,atm,,,РосБанк,,,0.0,362.0,2728.0,9090.0,2,2.211544849308943,2.211544849308943,6,88.54178569138026,64.20614862746756,10,145.68651176893957,87.3738275402568,20,264.5555366889493,141.87717548537933,90.28970154460923,0.0,252.83777900458358,260.8810934696828,102.91471581062974,408.36138994181255,154.87806613426253,112.33214520263482,437.5632482956005,354.50409308655134,357.32683011088113,834.2480444657373,1067.130255420613,2041.221965611691,272.0151692889768
43.117147100000004,131.8885959,goverment,,,,,,538.0,2027.0,3084.0,5378.0,8,46.76522748135917,13.251460321781765,26,128.94280753084803,60.616162368242065,50,183.43715845844417,73.16323324011648,95,295.5576380601949,135.07162119638636,107.15234092410735,34.75644224882535,46.44491683629271,185.99418343272453,194.86885467314204,49.02391973226774,27.274682280364424,113.37224748624337,261.74010540143405,362.55907675589015,668.5054123406129,0.0,439.7458434912861,682.8206111188239,2415.6813458223573
43.1162135,131.8814679,cafe,Studio Coffee,,,,,590.0,1388.0,2863.0,5414.0,10,66.31901043327221,25.96592668999639,26,121.03246852149015,52.79247764081557,37,159.9376092583706,75.36856949288114,94,308.46044650576073,134.81430600505342,72.0392986422976,46.153220268452365,0.0,88.2756040522239,310.343182588375,525.9925237123086,73.43076644033532,108.75334016352338,448.36024940320374,108.28611267961809,770.9316578194874,587.8989394939875,447.4968535962476,258.5020871624831,2912.1243755464957
